indice,nombre,precio,tienda
280,Atún Alamar rallado en aceite x2 unds x150g,$ 6.990,jumbo
281,Cereal kelloggs corn flakes x700g,$ 18.590,jumbo
282,Arroz parbolizado Doña Pepa x 5000g,$ 28.990,jumbo
283,Atún Van Camps Con Vegetales x 125g,$ 15.590,jumbo
284,Aceite Oleocali garrafa x 5000ml,$ 56.590,jumbo
285,Café Instantáneo Clásico Colcafé x 170g,$ 14.590,jumbo
286,Chocolate Sol x 500g,$ 7.190,jumbo
287,Aceite oliva ybarra extra virgen picual x500ml,$ 19.990,jumbo
288,Café Nescafé Tradición x50g,$ 8.990,jumbo
289,"Azúcar Incauca Extrafina 2,5 kg",$ 9.790,jumbo
290,Café Juan Valdez Liofilizado Chocolate x95g,$ 18.590,jumbo
291,Pasta de tomate Fruco x200g,$ 5.390,jumbo
292,Capsula nescafe dolce gusto capuccino x186g,$ 23.990,jumbo
293,Café Colcafé Instant?Neo Cl?Sico x 250G,$ 20.590,jumbo
294,Spaghettini Barilla x500g,$ 7.990,jumbo
295,Salsa heinz tomate sin azc.añadido x369g,$ 9.990,jumbo
296,Salsa Barilla genovesa x190g,$ 14.990,jumbo
297,Aceite gourmet familia frito experto x2000ml,$ 27.990,jumbo
298,Salsa barilla bolognesa x 400g,$ 13.990,jumbo
299,Café Nescafé Dolca x170g,$ 20.590,jumbo
300,Caldo De Gallina Deshidratado Maggi x 24 Cubos x 264 G.,$ 9.390,jumbo
301,Vinagre de nigris sidra manzana organico x1000ml,$ 18.590,jumbo
302,Mayonesa la constancia baja grasa x600g,$ 9.990,jumbo
303,Salsa tomate doypack San Jorge x 1000 g precio especial,$ 9.790,jumbo
304,Café Águila Roja x 1000G,$ 27.790,jumbo
305,Arroz Castellano premium oryzica x 1000g,$ 8.390,jumbo
306,Avena don pancho molida x500g grt. extracontenido,$ 4.472,jumbo
307,Arroz castellano premum basmati x500g,$ 10.590,jumbo
308,Aceite Gourmet oliva extra virgen frasco x 750 ml,$ 37.590,jumbo
309,Chocolate Con Azúcar Máxima x500g,$ 4.790,jumbo
310,Salsa de tomate Fruco x 400g,$ 7.590,jumbo
311,Mayonesa Fruco baja en grasa x 380g,$ 7.990,jumbo
312,Maíz Tierno San Jorge Lata x 300 g,$ 5.990,jumbo
313,Lasagna doria x400g,$ 9.990,jumbo
314,Pasta Fettuccine Toscane Barilla x 500g,$ 14.590,jumbo
315,Chocolate Sol azúcar cero colesterol x 750g Extracontenido,$ 10.590,jumbo
316,Arroz blanco Máxima x3 kg,$ 10.190,jumbo
317,Atún Cuisine&Co lomitos aceite oliva frasco x180g,$ 13.990,jumbo
318,Salsa La Constancia tomate x 400 g + mayonesa x 380 g gratis Vancamp x 160 g,$ 12.590,jumbo
319,Aceite Fino Girasol Light X 4.5L,$ 67.990,jumbo
320,Pasta Monticello spaguetti x 500 g.,$ 7.590,jumbo
321,Aceite oliva ybarra extra virgen arbequina x500ml,$ 19.990,jumbo
322,Pasta Fetuccine Conzazoni x 500g,$ 7.590,jumbo
323,Pasta conzazoni penne rigate integral x500g,$ 7.990,jumbo
324,Aceite Olivetto mezcla vegetal oliva freír x 1000 ml,$ 25.490,jumbo
325,Pasta Lasagna Pasta La Muñeca x 400g,$ 9.190,jumbo
326,Aceite girasol Oleo Cali x900ml,$ 13.990,jumbo
327,Fécula de maíz Maizena x380g,$ 10.390,jumbo
